####
# derived from Social Security Administration records
# from 1960 to 2012
# This file contains male-only names
# columns: Male_name, number_of_uses
Adein,     23.0000000
Adekunle,     61.0000000
Adel,   1005.0000000
Adelaido,     62.0000000
Adelbert,    297.0000000
Adeleke,      5.0000000
Adelfo,     63.0000000
Adelino,      5.0000000
Adell,    179.0000000
Adem,    685.0000000
Ademide,      9.0000000
Ademir,     18.0000000
Ademola,    105.0000000
Aden,  14107.0000000
Adeniyi,     20.0000000
Adenn,     12.0000000
Adeola,     19.0000000
Adeolu,     10.0000000
Adeoluwa,     30.0000000
Adeon,      6.0000000
Aderemi,      6.0000000
Adesh,     18.0000000
Adetayo,     12.0000000
Adetokunbo,     84.0000000
Adetola,      5.0000000
Adewale,    132.0000000
Adeyemi,    102.0000000
Adeyinka,      5.0000000
Adham,    564.0000000
Adharsh,     16.0000000
Adhav,     19.0000000
Adheesh,      5.0000000
Adhem,     11.0000000
Adhemar,     36.0000000
Adhithya,      6.0000000
Adhitya,     12.0000000
Adhrit,     73.0000000
Adhrith,      5.0000000
Adhvaith,     16.0000000
Adhvik,     35.0000000
Adi,    430.0000000
Adian,    856.0000000
Adib,    180.0000000
Adidas,     16.0000000
Adiel,    997.0000000
Adien,    282.0000000
Adika,     13.0000000
Adil,   1037.0000000
Adilene,      7.0000000
Adilson,     44.0000000
Adin,   2190.0000000
Adir,    114.0000000
Adis,    181.0000000
Adisa,     64.0000000
Adison,    594.0000000
Adisson,      5.0000000
Adit,    223.0000000
Adith,     71.0000000
Adithya,    427.0000000
Aditya,   3793.0000000
Adiv,     20.0000000
Adiyan,      9.0000000
Adlai,    270.0000000
Adlan,      5.0000000
Adlar,      5.0000000
Adler,   1100.0000000
Adley,    218.0000000
Adma,     23.0000000
Admir,    172.0000000
Admiral,     16.0000000
Adnaan,     30.0000000
Adnan,   1776.0000000
Adnel,      5.0000000
Adner,     12.0000000
Adniel,      5.0000000
Adnrew,     39.0000000
Adolf,    147.0000000
Adolfo,  11336.0000000
Adolph,   1999.0000000
Adolpho,    118.0000000
Adolphus,    887.0000000
Adom,    123.0000000
Adomas,      6.0000000
Adon,    543.0000000
Adonai,    386.0000000
Adonay,    251.0000000
Adones,      5.0000000
Adoni,     65.0000000
Adoniah,     17.0000000
Adonias,     78.0000000
Adonijah,    266.0000000
Adoniram,     21.0000000
Adonis,   6038.0000000
Adoniz,      5.0000000
Adonnis,    310.0000000
Adontae,      7.0000000
Adonte,    172.0000000
Adonus,     70.0000000
Adony,     11.0000000
Adonys,    133.0000000
Adore,     13.0000000
Adorian,     52.0000000
Adorion,      6.0000000
Adrain,   3112.0000000
Adraine,      5.0000000
Adran,     31.0000000
Adre,      6.0000000
Adrean,    669.0000000
Adreian,     15.0000000
Adrein,     51.0000000
Adrell,      5.0000000
Adren,    215.0000000
Adreon,     29.0000000
Adrew,     31.0000000
Adreyan,     97.0000000
Adri,     14.0000000
Adria,      7.0000000
Adriaan,     48.0000000
Adrial,     15.0000000
Adriam,      5.0000000
Adrian, 184293.0000000
Adriana,    386.0000000
Adriane,    274.0000000
Adrianjames,     11.0000000
Adriann,     85.0000000
Adrianna,     18.0000000
Adrianne,     31.0000000
Adrianno,      8.0000000
Adriano,   1654.0000000
Adrianpaul,      7.0000000
Adric,    276.0000000
Adrick,    122.0000000
Adriean,     18.0000000
Adriel,   6027.0000000
Adriell,     31.0000000
Adrien,   5793.0000000
Adriene,     61.0000000
Adrienn,      7.0000000
Adrienne,    370.0000000
Adrik,    290.0000000
Adrin,    267.0000000
Adrine,      5.0000000
Adrion,    601.0000000
Adris,      5.0000000
Adrius,     11.0000000
Adriyan,     26.0000000
Adriyel,     10.0000000
Adron,    382.0000000
Adryan,    794.0000000
Adryel,     41.0000000
Adryen,     71.0000000
Adryn,     15.0000000
Adryon,     15.0000000
Adulfo,      5.0000000
Advait,    244.0000000
Advaith,    308.0000000
Advay,    185.0000000
Advik,    223.0000000
Advit,      8.0000000
Advith,      7.0000000
Adwin,     38.0000000
Adyan,    169.0000000
Adyant,     10.0000000
Adyen,     47.0000000
Adyn,    953.0000000
Adynn,     44.0000000
Adyson,     28.0000000
Aedan,   2540.0000000
Aeddon,     26.0000000
Aeden,    766.0000000
Aedin,    147.0000000
Aedon,    120.0000000
Aedric,      6.0000000
Aedyn,    385.0000000
Aeiden,     10.0000000
Aemon,     17.0000000
Aeneas,    303.0000000
Aengus,     84.0000000
Aeon,     38.0000000
Aerial,      6.0000000
Aerian,      5.0000000
Aeric,     79.0000000
Aerick,     49.0000000
Aerik,     58.0000000
Aerin,     11.0000000
Aerion,     76.0000000
Aerius,      7.0000000
Aero,     66.0000000
Aeron,    479.0000000
Aeryk,     53.0000000
Aeryn,     23.0000000
Aeson,    160.0000000
Aesop,     12.0000000
Aethan,     37.0000000
Aevin,      5.0000000
Aeyden,      7.0000000
Afeef,     11.0000000
Affaan,      5.0000000
Affan,    139.0000000
Afif,     10.0000000
Afnan,     60.0000000
Afolabi,     20.0000000
Afonso,      5.0000000
Afraz,     29.0000000
Afrim,     10.0000000
Afsheen,     15.0000000
Afshin,     51.0000000
Aftab,     20.0000000
Afton,    299.0000000
Afzal,     14.0000000
Agam,     84.0000000
Agamjot,     18.0000000
Agape,     10.0000000
