####
# derived from Social Security Administration records
# from 1960 to 2012
# This file contains female-only names
# columns: Female_name, number_of_uses
Adaysha,     61.0000000
Adayshia,     19.0000000
Adaysia,     22.0000000
Adda,     42.0000000
Addalee,     73.0000000
Addaleigh,     18.0000000
Addaley,     14.0000000
Addalie,     48.0000000
Addalina,      5.0000000
Addaline,     38.0000000
Addalyn,    724.0000000
Addalyne,     15.0000000
Addalynn,    353.0000000
Addalynne,     22.0000000
Addasyn,     73.0000000
Addelin,     17.0000000
Addelina,      5.0000000
Addeline,    164.0000000
Addelyn,    755.0000000
Addelyne,      5.0000000
Addelynn,    206.0000000
Addelynne,     11.0000000
Addeson,     10.0000000
Addesyn,     18.0000000
Addey,     11.0000000
Addi,    267.0000000
Addicyn,     24.0000000
Addie,   6453.0000000
Addielynn,      5.0000000
Addieson,      5.0000000
Addilee,     65.0000000
Addileigh,     17.0000000
Addiley,     10.0000000
Addilyn,   1592.0000000
Addilyne,     11.0000000
Addilynn,    648.0000000
Addilynne,     19.0000000
Addington,      5.0000000
Addis,     48.0000000
Addisan,     16.0000000
Addisen,    906.0000000
Addisin,     18.0000000
Addison,  82730.0000000
Addisson,     77.0000000
Addiston,      5.0000000
Addisun,      6.0000000
Addisyn,   5309.0000000
Addisynn,     96.0000000
Addlee,      5.0000000
Addley,     57.0000000
Addlie,      6.0000000
Addriana,      5.0000000
Addrianna,     15.0000000
Addrienne,     15.0000000
Addsion,      5.0000000
Addy,    925.0000000
Addylan,      5.0000000
Addylin,     20.0000000
Addylyn,     10.0000000
Addylynn,      5.0000000
Addysan,     47.0000000
Addysen,    801.0000000
Addysin,     74.0000000
Addysn,      6.0000000
Addyson,  10810.0000000
Addysun,     13.0000000
Addysyn,     78.0000000
Ade,      5.0000000
Adea,     66.0000000
Adeana,    181.0000000
Adeanna,      5.0000000
Adebisi,     10.0000000
Adebola,     29.0000000
Adedoyin,     12.0000000
Adee,      6.0000000
Adeeba,     11.0000000
Adeena,    262.0000000
Adeja,    123.0000000
Adejah,     30.0000000
Adekemi,      5.0000000
Adel,    456.0000000
Adela,   5302.0000000
Adelade,     34.0000000
Adelae,     91.0000000
Adelai,    105.0000000
Adelaida,   1514.0000000
Adelaide,   6729.0000000
Adelaina,      6.0000000
Adelaine,    191.0000000
Adelane,      5.0000000
Adelay,     14.0000000
Adelayda,     14.0000000
Adelayde,     22.0000000
Adelayne,      6.0000000
Adele,   7187.0000000
Adelee,     41.0000000
Adelei,     57.0000000
Adeleigh,     59.0000000
Adeleine,    144.0000000
Adelena,    130.0000000
Adelene,    219.0000000
Adeley,      8.0000000
Adelfa,     29.0000000
Adelheid,     26.0000000
Adeli,     38.0000000
Adelia,   1318.0000000
Adelice,      5.0000000
Adelicia,     41.0000000
Adelie,    241.0000000
Adelin,    238.0000000
Adelina,   4665.0000000
Adelinah,      5.0000000
Adelind,      6.0000000
Adeline,  11670.0000000
Adelis,     46.0000000
Adelisa,    131.0000000
Adelise,     54.0000000
Adelita,   1069.0000000
Adeliz,     69.0000000
Adell,    532.0000000
Adella,   1133.0000000
Adelle,   2071.0000000
Adellia,      5.0000000
Adellyn,     30.0000000
Adellynn,      6.0000000
Adely,     74.0000000
Adelyn,   6040.0000000
Adelyna,     35.0000000
Adelyne,    280.0000000
Adelynn,   2875.0000000
Adelynne,    255.0000000
Adelys,      5.0000000
Aden,    472.0000000
Adena,   1274.0000000
Adenike,    215.0000000
Adeola,    297.0000000
Adera,      5.0000000
Aderinsola,      5.0000000
Adero,      5.0000000
Aderonke,     23.0000000
Aderyn,     29.0000000
Adesha,      5.0000000
Adesina,      5.0000000
Adesola,     16.0000000
Adessa,    279.0000000
Adesuwa,     83.0000000
Adetokunbo,      5.0000000
Adeva,      5.0000000
Adeyinka,      5.0000000
Adhira,     20.0000000
Adhithi,     19.0000000
Adhley,      7.0000000
Adhya,    129.0000000
Adi,    624.0000000
Adia,   2404.0000000
Adiah,    114.0000000
Adiam,     13.0000000
Adiana,    252.0000000
Adianez,     58.0000000
Adianna,    174.0000000
Adiba,     83.0000000
Adie,     77.0000000
Adiel,     69.0000000
Adiela,      7.0000000
Adiella,     27.0000000
Adielle,      5.0000000
Adijah,      6.0000000
Adila,     19.0000000
Adilah,     24.0000000
Adilee,    103.0000000
Adilen,     46.0000000
Adilena,      6.0000000
Adilene,   4265.0000000
Adileni,     39.0000000
Adilenne,    116.0000000
Adileny,     33.0000000
Adiley,      5.0000000
Adilia,     20.0000000
Adilyn,    821.0000000
Adilyne,     22.0000000
Adilynn,    695.0000000
Adilynne,     51.0000000
Adin,     81.0000000
Adina,   5031.0000000
Adinah,     35.0000000
Adine,     74.0000000
Adira,    285.0000000
Adisa,     83.0000000
Adisen,    161.0000000
Adison,   2725.0000000
Adisson,     74.0000000
Adisyn,    845.0000000
Adisynn,     48.0000000
Adisynne,     50.0000000
Adithi,    257.0000000
Aditi,   2394.0000000
Aditri,     73.0000000
Aditya,      5.0000000
Adiva,     83.0000000
Adiya,     99.0000000
Adiyah,     29.0000000
Adja,    131.0000000
Adji,      5.0000000
Adjoa,     87.0000000
Adjua,      5.0000000
Adlai,     41.0000000
Adlea,      5.0000000
Adlee,    215.0000000
Adlei,      7.0000000
Adleigh,    360.0000000
Adlemi,     16.0000000
Adlen,     11.0000000
Adler,     93.0000000
Adley,    754.0000000
Adlie,     15.0000000
Adlih,     20.0000000
Adlin,     36.0000000
Adlina,      5.0000000
Adline,     41.0000000
Adly,     13.0000000
Adlyn,     56.0000000
Adlynn,     34.0000000
Admire,     35.0000000
Adn,      5.0000000
Adna,    259.0000000
Adnrea,      5.0000000
Adolfo,     10.0000000
Adona,     28.0000000
Adonai,    121.0000000
Adoncia,      5.0000000
Adonia,    287.0000000
Adoniah,      7.0000000
Adonica,    327.0000000
Adonijah,     26.0000000
Adonis,     71.0000000
Adonna,    375.0000000
Adonya,     14.0000000
Adora,   1222.0000000
Adorabella,     14.0000000
Adorah,     10.0000000
Adore,     71.0000000
Adoree,     22.0000000
Adoria,     74.0000000
Adra,    272.0000000
Adrain,    496.0000000
Adraine,    200.0000000
Adrainne,     13.0000000
Adraya,     11.0000000
Adrea,    677.0000000
Adream,     39.0000000
Adrean,    390.0000000
Adreana,    871.0000000
Adreann,      7.0000000
Adreanna,   1429.0000000
Adreanne,    109.0000000
Adreauna,      5.0000000
Adree,     21.0000000
Adreena,     92.0000000
Adreina,     11.0000000
Adreinne,     15.0000000
Adrena,    436.0000000
Adreona,    106.0000000
Adreonna,    171.0000000
Adreyona,      5.0000000
Adri,    123.0000000
Adria,   4930.0000000
Adriah,     47.0000000
Adriahna,     69.0000000
Adrialis,      8.0000000
Adrialys,     16.0000000
Adrian,  12681.0000000
Adriana,  77850.0000000
Adrianah,    196.0000000
Adriane,   5436.0000000
Adriann,    846.0000000
Adrianna,  38386.0000000
Adriannah,    244.0000000
Adrianne,  10947.0000000
Adrianny,     11.0000000
Adriauna,    222.0000000
Adriaunna,     48.0000000
Adrie,    151.0000000
Adrieana,    121.0000000
Adrieanna,    357.0000000
Adrieanne,     16.0000000
Adriel,    559.0000000
Adriela,      5.0000000
Adriella,     40.0000000
Adrielle,    522.0000000
Adrien,   1234.0000000
Adriena,    135.0000000
Adriene,   2113.0000000
Adrienn,     27.0000000
Adrienna,    754.0000000
Adrienne,  49617.0000000
Adriennie,      5.0000000
Adrieonna,      5.0000000
Adrihana,      5.0000000
Adrihanna,     22.0000000
Adrija,     12.0000000
Adrijana,     34.0000000
Adrin,     12.0000000
Adrina,   1199.0000000
Adrine,     54.0000000
Adrinna,     28.0000000
Adrinne,     56.0000000
Adriona,    281.0000000
Adrionna,    780.0000000
Adrita,     18.0000000
Adriunna,      5.0000000
Adriyana,    133.0000000
Adriyanna,    163.0000000
Adry,      5.0000000
Adryan,    146.0000000
Adryana,    432.0000000
Adryanah,      5.0000000
Adryann,      5.0000000
Adryanna,    549.0000000
Adryauna,      5.0000000
Adryn,      6.0000000
Adryonna,      5.0000000
Adut,     20.0000000
Advaita,     12.0000000
Advika,    192.0000000
Advita,     10.0000000
Adwita,     33.0000000
Adwoa,    152.0000000
Ady,    110.0000000
Adya,    160.0000000
Adyanna,     11.0000000
Adylan,      6.0000000
Adylee,     12.0000000
Adylen,      5.0000000
Adylene,    208.0000000
Adylenne,      5.0000000
Adylin,     37.0000000
Adyline,     45.0000000
Adylinn,      5.0000000
Adylyn,      6.0000000
Adylynn,      7.0000000
Adyn,     99.0000000
Adynn,     12.0000000
Adysan,      7.0000000
Adysen,    602.0000000
Adysin,     34.0000000
Adyson,   3181.0000000
Adysson,     63.0000000
Adysyn,     32.0000000
Aedan,     43.0000000
Aeden,      7.0000000
Aedyn,     47.0000000
Aeisha,    264.0000000
Aeja,     48.0000000
Aela,     88.0000000
Aelan,      6.0000000
Aeleen,     15.0000000
Aeliana,      6.0000000
Aelicia,      6.0000000
Aelisa,      5.0000000
Aelish,      5.0000000
Aelita,      6.0000000
Aella,     28.0000000
Aelyn,     81.0000000
