epoch,datetime,talk,speaker,questions
1389240221,2014-01-08 20:03:41,312.06,M,MMM
1389240243,2014-01-08 20:04:03,312.07,M,MM
1389273158,2014-01-09 05:12:38,341.01,M,MMM
1389273173,2014-01-09 05:12:53,341.02,M,MM
1389273199,2014-01-09 05:13:19,341.03,M,MM
1389273210,2014-01-09 05:13:30,341.04,M,M
1389273221,2014-01-09 05:13:41,341.05,F,MM
1389273235,2014-01-09 05:13:55,341.06,F,MM
1389280018,2014-01-09 07:06:58,112.05,M,M
1389280044,2014-01-09 07:07:24,112.06,F,FMFM
1389280068,2014-01-09 07:07:48,112.07,M,FMFM
1389280083,2014-01-09 07:08:03,130.01,M,MM
1389280098,2014-01-09 07:08:18,130.02,F,M
1389280110,2014-01-09 07:08:30,130.03,M,MM
1389280137,2014-01-09 07:08:57,130.04,M,M
1389280148,2014-01-09 07:09:08,130.05,F,MM
1389280158,2014-01-09 07:09:18,130.06,M,MF
1389280173,2014-01-09 07:09:33,205.01,M,MFM
1389280187,2014-01-09 07:09:47,205.02,M,F
1389280202,2014-01-09 07:10:02,205.03,F,FMM
1389280212,2014-01-09 07:10:12,205.04,M,FM
1389280223,2014-01-09 07:10:23,205.05,M,MM
1389280233,2014-01-09 07:10:33,205.07,M,MM
1389280246,2014-01-09 07:10:46,219.01,F,MF
1389280260,2014-01-09 07:11:00,310.01,F,MFMM
1389280272,2014-01-09 07:11:12,310.03,F,MF
1389280283,2014-01-09 07:11:23,310.04,M,MF
1389280305,2014-01-09 07:11:45,310.05,F,MFM
1389280319,2014-01-09 07:11:59,310.06,M,M
1389280335,2014-01-09 07:12:15,310.07,M,MMF
1389280585,2014-01-09 07:16:25,415.01,F,
1389280747,2014-01-09 07:19:07,405.01,F,MMFMF
1389281311,2014-01-09 07:28:31,405.02,M,MMFFMF
1389281718,2014-01-09 07:35:18,405.03,M,F
1389282354,2014-01-09 07:45:54,405.04,F,MFMMM
1389291220,2014-01-09 10:13:40,315.01,F,FMM
1389291282,2014-01-09 10:14:42,315.03,M,MMM
1389291349,2014-01-09 10:15:49,315.04,F,MMM
1389291368,2014-01-09 10:16:08,315.06,M,MM
1389291384,2014-01-09 10:16:24,315.07,M,MM
1389291465,2014-01-09 10:17:45,315.08,F,MMM
1389295378,2014-01-09 11:22:58,430.01,M,MMMF
1389297434,2014-01-09 11:57:14,430.03,M,MM
1389297663,2014-01-09 12:01:03,430.04,M,FMM
1389299280,2014-01-09 12:28:00,433.01,F,MMF
1389299287,2014-01-09 12:28:07,433.02,M,MM
1389299300,2014-01-09 12:28:20,433.03,F,MFMMM
1389299310,2014-01-09 12:28:30,433.04,M,FM
1389299322,2014-01-09 12:28:42,433.05,F,MMMF
1389299329,2014-01-09 12:28:49,433.06,M,F
1389320628,2014-01-09 18:23:48,430.01,M,MMMF
1389320644,2014-01-09 18:24:04,430.02,M,MMM
1389320659,2014-01-09 18:24:19,430.03,M,MFMM
1389320681,2014-01-09 18:24:41,430.04,M,FMM
1389320901,2014-01-09 18:28:21,103.01,F,M
1389320912,2014-01-09 18:28:32,103.02,F,MMF
1389320935,2014-01-09 18:28:55,213.01,F,FMFM
1389320962,2014-01-09 18:29:22,215.02,M,MMM
1389320987,2014-01-09 18:29:47,215.03,F,MFMM
1389321001,2014-01-09 18:30:01,215.04,M,MMMF
1389321027,2014-01-09 18:30:27,215.05,M,M
1389321061,2014-01-09 18:31:01,228.02,M,M
1389321072,2014-01-09 18:31:12,303.04,F,MMM
1389321098,2014-01-09 18:31:38,303.05,M,MMM
1389321113,2014-01-09 18:31:53,303.06,M,MMF
1389321124,2014-01-09 18:32:04,334.02,F,M
1389321136,2014-01-09 18:32:16,334.03,M,MM
1389321144,2014-01-09 18:32:24,334.04,M,M
1389321166,2014-01-09 18:32:46,334.05,M,MMFFF
1389321178,2014-01-09 18:32:58,334.06,M,MF
