1438994132,2015-08-07 17:35:32,DJ.2.01,M,F,MFFM, ;
1438997238,2015-08-07 18:27:18,DJ.2.04,M,F,M, ;
1439007035,2015-08-07 21:10:35,,,,,I filled out many of these during the week, but also wanted to comment that having a binary gender selection is not inclusive to all. ;
1439234051,2015-08-10 12:14:11,Susanne Aalto, Division J,F,F,FMF, ;
1439234543,2015-08-10 12:22:23,Onishi, Division J meeting,F,F,MFF, ;
1439234578,2015-08-10 12:22:58,DG.5.02,F,M,MM, ;
1439235269,2015-08-10 12:34:29,DC.5.04,M,M,F, ;
1439236033,2015-08-10 12:47:13,Christine Wilson, Division J meeting,F,F,FM, ;
1439236144,2015-08-10 12:49:04,DC5.05,M,M,MFM, ;
1439240064,2015-08-10 13:54:24,DG.6.01,F,M,F,Q was panel chair. ;
1439240982,2015-08-10 14:09:42,DJ.6.03, E. Schinnerer,M,F,FMF, ;
1439241020,2015-08-10 14:10:20,DG.6.02,F,M,F,First question by chair (the legendary Virginia Trimble.)  ;
1439241735,2015-08-10 14:22:15,DJ.6.02 Menéndez-Delmestre,M,F,MMMM, ;
1439253331,2015-08-10 17:35:31,DG.7.01,F,F,FFM, ;
1439254789,2015-08-10 17:59:49,DG.7.02,F,F,M, ;
1439327015,2015-08-11 14:03:35,S320.2.01,M,F,MMFM, ;
1439327022,2015-08-11 14:03:42,S320.2.01,M,F,MMFM, ;
1439328198,2015-08-11 14:23:18,S320.2.04,M,M,MMM,Program order was changed. talks 2,3 didn't happen.   ;
1439328818,2015-08-11 14:33:38,S. Finkelstein, S319,M,M,MMFM, ;
1439328992,2015-08-11 14:36:32,R. Bouwens, S319,M,M,FM, ;
1439329310,2015-08-11 14:41:50,S320.2.05,M,M,M, ;
1439330339,2015-08-11 14:58:59,S320.2.06,M,M,MFF, ;
1439330342,2015-08-11 14:59:02,S320.2.06,M,M,MF, ;
1439330907,2015-08-11 15:08:27,I. Labbé, S319,M,M,FM, ;
1439330983,2015-08-11 15:09:43,A. Bunker, S319,M,M,M, ;
1439331220,2015-08-11 15:13:40,S320.2.07,M,M,MMM, ;
1439331249,2015-08-11 15:14:09,S320.2.07,M,M,MM, ;
1439331669,2015-08-11 15:21:09,K. Schmidt, S319,M,M,, ;
1439332274,2015-08-11 15:31:14,S320.2.08,M,M,MM,Audience member (M) answered 1st question (with mike!) so maybe another M should be added.   ;
1439339385,2015-08-11 17:29:45,S320.3.01,M,M,MMM, ;
1439339389,2015-08-11 17:29:49,S320.3.01,M,M,MMM, ;
1439340173,2015-08-11 17:42:53,S320.3.02,M,F,M, ;
1439340275,2015-08-11 17:44:35,R. Livermore, S319,F,M,MM, ;
1439341094,2015-08-11 17:58:14,S320.3.03,M,M,FF, ;
1439346383,2015-08-11 19:26:23,S320.4.01,M,M,M, ;
1439347635,2015-08-11 19:47:15,S320.4.02,M,F,MFM, ;
1439348221,2015-08-11 19:57:01,S320.4.03,M,M,FF, ;
1439409549,2015-08-12 12:59:09,S319 Plenary,M,M,FMMMM, ;
1439409557,2015-08-12 12:59:17,Genzel, IAUS319 Plenary,M,M,FMMMM, ;
1439412856,2015-08-12 13:54:16,S320.5.01,M,F,FF, ;
1439412900,2015-08-12 13:55:00,S320.5.01,M,F,FF, ;
1439413864,2015-08-12 14:11:04,S320.5.02,M,M,MMM, ;
1439413931,2015-08-12 14:12:11,J. Devriendt,F,M,FM, ;
1439414704,2015-08-12 14:25:04,S320.5.03,M,F,M, ;
1439414794,2015-08-12 14:26:34,O. Le Fevre, IAUS319,F,M,MM, ;
1439415584,2015-08-12 14:39:44,S320.5.04,M,M,MM, ;
1439417245,2015-08-12 15:07:25,S320.5.06,M,M,FM, ;
1439418968,2015-08-12 15:36:08,S320.5.08,M,F,F, ;
1439425812,2015-08-12 17:30:12,S320.6.01,M,M,MMM, ;
1439491874,2015-08-13 11:51:14,S320.8.01,M,M,MFM, ;
1439493130,2015-08-13 12:12:10,S320.8.02,M,M,MMF, ;
1439495180,2015-08-13 12:46:20,S320.8.03,M,M,MF, ;
1439495221,2015-08-13 12:47:01,S320.8.03,M,M,MF, ;
1439495252,2015-08-13 12:47:32,S320.8.04,M,M,MFM, ;
1439499054,2015-08-13 13:50:54,S320.8.05,M,M,MM, ;
1439524275,2015-08-13 20:51:15,FM20.1,F,M,F1 M4, ;
1439578321,2015-08-14 11:52:01,S320.12.01,M,M,M, ;
1439579712,2015-08-14 12:15:12,S320.11.01,M,M,M,Earlier entry for S320.12.01 with same stats was mistake, should have been this one S312.11.01. ;
1439580304,2015-08-14 12:25:04,S320.11.02,M,M,MM, ;
1439580395,2015-08-14 12:26:35,S320.11.03,M,M,MM, ;
1439581481,2015-08-14 12:44:41,S320.11.04,M,F,M, ;
1439582109,2015-08-14 12:55:09,S320.11.05,M,M,MMM, ;
1439582739,2015-08-14 13:05:39,S320.11.06,M,F,, ;
1439585596,2015-08-14 13:53:16,S320.12.01,M,M,MMM, ;
1439586464,2015-08-14 14:07:44,S320.12.02,M,M,M, ;
1439587592,2015-08-14 14:26:32,S320.12.03,M,M,MMM, ;
1439588565,2015-08-14 14:42:45,S320.12.04,M,F,M, ;
1439589820,2015-08-14 15:03:40,S320.12.05,M,F,M, ;
1439590500,2015-08-14 15:15:00,S320.12.06,M,M,MM, ;
1439591164,2015-08-14 15:26:04,S320.12.07,M,M,MF, ;
