1483734332,2017-01-06 12:25:32,Smriti Vats,F,F,F:Q, F:Q, M:Q,M:Q,M:Q,F:Q,,The female chair asked two of the questions. ;
1483734625,2017-01-06 12:30:25,321.02,F,M,F:Q,M:Q,M:Q,,  ;
1483734857,2017-01-06 12:34:17,327.03,M,F,M:Q,M:Q,M:Q,M:Q,, ;
1483735230,2017-01-06 12:40:30,321.03,F,M,M:Q,M:Q,,Speaker went long - limited time for questions  ;
1483735366,2017-01-06 12:42:46,327.04,M,M,M:Q,M:Q,M:Q,, ;
1483736360,2017-01-06 12:59:20,Jacob Simon,F,M,M:Q,F:Q,,last question = chair question ;
1483736422,2017-01-06 13:00:22,321.04,F,F,M:Q,M:Q,F:Q,, ;
1483736447,2017-01-06 13:00:47,327.05,M,F,F:Q,, ;
1483736815,2017-01-06 13:06:55,318.05,F,M,F:Q,,only question = chair question ;
1483737129,2017-01-06 13:12:09,327.06,M,M,M:Q,M:Q,M:Q,, ;
1483737651,2017-01-06 13:20:51,327.07,M,M,M:Q,M:Q,F:Q,, ;
1483738270,2017-01-06 13:31:10,318.07,F,F,M:Q,M:Q,, ;
1483805410,2017-01-07 08:10:10,410.01,M,M,F:Q,M:Q,,First Q from chair ;
1483805998,2017-01-07 08:19:58,410.02,M,M,M:Q,M:Q,, ;
1483807170,2017-01-07 08:39:30,410.03,M,M,M:Q,M:Q,M:Q,F:Q,M:Q,F:Q,, ;
1483807806,2017-01-07 08:50:06,410.04,M,M,M:C,M:Q,M:Q,F:Q,, ;
1483808310,2017-01-07 08:58:30,410.05,M,M,M:Q,M:Q,F:Q,,Last Q from chair  ;
1483808991,2017-01-07 09:09:51,410.06,F,M,M:Q,F:C,F:Q,, ;
1483809433,2017-01-07 09:17:13,410.07,F,M,F:Q,,Question by chair ;
1483819666,2017-01-07 12:07:46,420.01,M,M,M:Q,M:Q,, ;
1483820897,2017-01-07 12:28:17,420.02,M,M,M:Q,M:Q,M:Q,, ;
1483821488,2017-01-07 12:38:08,420.03,M,F,M:Q,M:Q,, ;
1483822198,2017-01-07 12:49:58,420.04,M,M,M:Q,M:Q,, ;
1483822827,2017-01-07 13:00:27,,,,M:Q,M:Q,M:Q,M:Q,, ;
1483826155,2017-01-07 13:55:55,330.02,F,M,F:Q,F:Q,, ;
